year,garnizon,method,suicides,outcome
2013,Rzeszów,damaging circulatory system,7,Attempted
2013,Rzeszów,self harm,4,Attempted
2013,Rzeszów,throwing from height,13,Attempted
2013,Rzeszów,drowning,7,Attempted
2013,Rzeszów,hanging,269,Attempted
2013,Rzeszów,throwing to moving vehicle,3,Attempted
2013,Rzeszów,shooting,5,Attempted
2013,Rzeszów,pills,6,Attempted
2013,Szczecin,gas,3,Attempted
2013,Szczecin,poison,1,Attempted
2013,Szczecin,damaging circulatory system,12,Attempted
2013,Szczecin,self harm,12,Attempted
2013,Szczecin,throwing from height,28,Attempted
2013,Szczecin,drowning,7,Attempted
2013,Szczecin,hanging,309,Attempted
2013,Szczecin,throwing to moving vehicle,5,Attempted
2013,Szczecin,shooting,4,Attempted
2013,Szczecin,pills,12,Attempted
2013,Warszawa,gas,1,Attempted
2013,Warszawa,poison,2,Attempted
2013,Warszawa,damaging circulatory system,16,Attempted
2013,Warszawa,self harm,15,Attempted
2013,Warszawa,throwing from height,79,Attempted
2013,Warszawa,drowning,5,Attempted
2013,Warszawa,hanging,330,Attempted
2013,Warszawa,throwing to moving vehicle,11,Attempted
2013,Warszawa,shooting,11,Attempted
2013,Warszawa,pills,10,Attempted
2013,Radom,gas,0,Attempted
2013,Radom,poison,1,Attempted
2013,Radom,damaging circulatory system,8,Attempted
2013,Radom,self harm,9,Attempted
2013,Radom,throwing from height,19,Attempted
2013,Radom,drowning,3,Attempted
2013,Radom,hanging,454,Attempted
2013,Radom,throwing to moving vehicle,4,Attempted
2013,Radom,shooting,6,Attempted
2013,Radom,pills,3,Attempted
2013,Wrocław,gas,3,Attempted
2013,Wrocław,poison,3,Attempted
2013,Wrocław,damaging circulatory system,8,Attempted
2013,Wrocław,self harm,13,Attempted
2013,Wrocław,throwing from height,55,Attempted
2013,Wrocław,drowning,9,Attempted
2013,Wrocław,hanging,426,Attempted
2013,Wrocław,throwing to moving vehicle,8,Attempted
2013,Wrocław,shooting,8,Attempted
2013,Wrocław,pills,5,Attempted
2014,Bydgoszcz,gas,0,Attempted
2014,Bydgoszcz,poison,1,Attempted
2014,Bydgoszcz,damaging circulatory system,2,Attempted
2014,Bydgoszcz,self harm,11,Attempted
2014,Bydgoszcz,throwing from height,23,Attempted
2014,Bydgoszcz,drowning,8,Attempted
2014,Bydgoszcz,hanging,259,Attempted
2014,Bydgoszcz,throwing to moving vehicle,3,Attempted
2014,Bydgoszcz,shooting,4,Attempted
2014,Bydgoszcz,pills,8,Attempted
2014,Białystok,gas,0,Attempted
2014,Białystok,poison,0,Attempted
2014,Białystok,damaging circulatory system,6,Attempted
2014,Białystok,self harm,27,Attempted
2014,Białystok,throwing from height,51,Attempted
2014,Białystok,drowning,4,Attempted
2014,Białystok,hanging,222,Attempted
2014,Białystok,throwing to moving vehicle,4,Attempted
2014,Białystok,shooting,4,Attempted
2014,Białystok,pills,13,Attempted
2014,Gdańsk,gas,3,Attempted
2014,Gdańsk,poison,5,Attempted
2014,Gdańsk,damaging circulatory system,13,Attempted
2014,Gdańsk,self harm,19,Attempted
2014,Gdańsk,throwing from height,27,Attempted
2014,Gdańsk,drowning,2,Attempted
2014,Gdańsk,hanging,314,Attempted
2014,Gdańsk,throwing to moving vehicle,10,Attempted
2014,Gdańsk,shooting,7,Attempted
2014,Gdańsk,pills,24,Attempted
2014,Gorzów Wlkp.,gas,2,Attempted
2014,Gorzów Wlkp.,poison,1,Attempted
2014,Gorzów Wlkp.,damaging circulatory system,11,Attempted
2014,Gorzów Wlkp.,self harm,13,Attempted
2014,Gorzów Wlkp.,throwing from height,20,Attempted
2014,Gorzów Wlkp.,drowning,1,Attempted
2014,Gorzów Wlkp.,hanging,165,Attempted
2014,Gorzów Wlkp.,throwing to moving vehicle,1,Attempted
2014,Gorzów Wlkp.,shooting,1,Attempted
2014,Gorzów Wlkp.,pills,5,Attempted
2014,Katowice,gas,10,Attempted
2014,Katowice,poison,9,Attempted
2014,Katowice,damaging circulatory system,76,Attempted
2014,Katowice,self harm,113,Attempted
2014,Katowice,throwing from height,158,Attempted
2014,Katowice,drowning,9,Attempted
2014,Katowice,hanging,768,Attempted
2014,Katowice,throwing to moving vehicle,27,Attempted
2014,Katowice,shooting,7,Attempted
2014,Katowice,pills,82,Attempted
2014,Kielce,gas,8,Attempted
2014,Kielce,poison,7,Attempted
2014,Kielce,damaging circulatory system,31,Attempted
2014,Kielce,self harm,79,Attempted
2014,Kielce,throwing from height,60,Attempted
2014,Kielce,drowning,18,Attempted
2014,Kielce,hanging,418,Attempted
2014,Kielce,throwing to moving vehicle,20,Attempted
2014,Kielce,shooting,5,Attempted
2014,Kielce,pills,64,Attempted
2014,Kraków,gas,4,Attempted
2014,Kraków,poison,4,Attempted
2014,Kraków,damaging circulatory system,57,Attempted
2014,Kraków,self harm,96,Attempted
2014,Kraków,throwing from height,71,Attempted
2014,Kraków,drowning,19,Attempted
2014,Kraków,hanging,521,Attempted
2014,Kraków,throwing to moving vehicle,16,Attempted
2014,Kraków,shooting,11,Attempted
2014,Kraków,pills,83,Attempted
2014,Łódź,gas,12,Attempted
2014,Łódź,poison,4,Attempted
2014,Łódź,damaging circulatory system,46,Attempted
2014,Łódź,self harm,61,Attempted
2014,Łódź,throwing from height,81,Attempted
2014,Łódź,drowning,7,Attempted
2014,Łódź,hanging,522,Attempted
2014,Łódź,throwing to moving vehicle,17,Attempted
2014,Łódź,shooting,9,Attempted
2014,Łódź,pills,61,Attempted
2014,Lublin,gas,1,Attempted
2014,Lublin,poison,3,Attempted
2014,Lublin,damaging circulatory system,6,Attempted
2014,Lublin,self harm,20,Attempted
2014,Lublin,throwing from height,41,Attempted
2014,Lublin,drowning,9,Attempted
2014,Lublin,hanging,404,Attempted
2014,Lublin,throwing to moving vehicle,14,Attempted
2014,Lublin,shooting,5,Attempted
2014,Lublin,pills,8,Attempted
2014,Olsztyn,gas,4,Attempted
2014,Olsztyn,poison,3,Attempted
2014,Olsztyn,damaging circulatory system,30,Attempted
2014,Olsztyn,self harm,61,Attempted
2014,Olsztyn,throwing from height,33,Attempted
2014,Olsztyn,drowning,5,Attempted
2014,Olsztyn,hanging,394,Attempted
2014,Olsztyn,throwing to moving vehicle,13,Attempted
2014,Olsztyn,shooting,5,Attempted
2014,Olsztyn,pills,28,Attempted
2014,Opole,gas,2,Attempted
2014,Opole,poison,3,Attempted
2014,Opole,damaging circulatory system,10,Attempted
2014,Opole,self harm,9,Attempted
2014,Opole,throwing from height,17,Attempted
2014,Opole,drowning,3,Attempted
2014,Opole,hanging,161,Attempted
2014,Opole,throwing to moving vehicle,3,Attempted
2014,Opole,shooting,2,Attempted
2014,Opole,pills,4,Attempted
2014,Poznań,gas,3,Attempted
2014,Poznań,poison,2,Attempted
2014,Poznań,damaging circulatory system,20,Attempted
2014,Poznań,self harm,22,Attempted
2014,Poznań,throwing from height,42,Attempted
2014,Poznań,drowning,6,Attempted
2014,Poznań,hanging,442,Attempted
2014,Poznań,throwing to moving vehicle,25,Attempted
2014,Poznań,shooting,5,Attempted
2014,Poznań,pills,11,Attempted
2014,Rzeszów,gas,1,Attempted
2014,Rzeszów,poison,1,Attempted
2014,Rzeszów,damaging circulatory system,10,Attempted
2014,Rzeszów,self harm,28,Attempted
2014,Rzeszów,throwing from height,27,Attempted
2014,Rzeszów,drowning,6,Attempted
2014,Rzeszów,hanging,305,Attempted
2014,Rzeszów,throwing to moving vehicle,6,Attempted
2014,Rzeszów,shooting,2,Attempted
2014,Rzeszów,pills,13,Attempted
2014,Szczecin,gas,6,Attempted
2014,Szczecin,poison,1,Attempted
2014,Szczecin,damaging circulatory system,10,Attempted
2014,Szczecin,self harm,17,Attempted
2014,Szczecin,throwing from height,25,Attempted
2014,Szczecin,drowning,6,Attempted
2014,Szczecin,hanging,340,Attempted
2014,Szczecin,throwing to moving vehicle,6,Attempted
2014,Szczecin,shooting,1,Attempted
2014,Szczecin,pills,27,Attempted
2014,Warszawa,gas,4,Attempted
2014,Warszawa,poison,3,Attempted
2014,Warszawa,damaging circulatory system,15,Attempted
2014,Warszawa,self harm,22,Attempted
2014,Warszawa,throwing from height,94,Attempted
2014,Warszawa,drowning,3,Attempted
2014,Warszawa,hanging,344,Attempted
2014,Warszawa,throwing to moving vehicle,9,Attempted
2014,Warszawa,shooting,5,Attempted
2014,Warszawa,pills,13,Attempted
2014,Radom,gas,3,Attempted
2014,Radom,poison,2,Attempted
2014,Radom,damaging circulatory system,14,Attempted
2014,Radom,self harm,29,Attempted
2014,Radom,throwing from height,21,Attempted
2014,Radom,drowning,2,Attempted
2014,Radom,hanging,489,Attempted
2014,Radom,throwing to moving vehicle,2,Attempted
2014,Radom,shooting,7,Attempted
2014,Radom,pills,13,Attempted
2014,Wrocław,gas,4,Attempted
2014,Wrocław,poison,3,Attempted
2014,Wrocław,damaging circulatory system,13,Attempted
2014,Wrocław,self harm,25,Attempted
2014,Wrocław,throwing from height,65,Attempted
2014,Wrocław,drowning,5,Attempted
2014,Wrocław,hanging,514,Attempted
2014,Wrocław,throwing to moving vehicle,8,Attempted
2014,Wrocław,shooting,6,Attempted
2014,Wrocław,pills,17,Attempted
2015,Bydgoszcz,gas,2,Attempted
2015,Bydgoszcz,poison,1,Attempted
2015,Bydgoszcz,damaging circulatory system,6,Attempted
2015,Bydgoszcz,self harm,12,Attempted
2015,Bydgoszcz,throwing from height,28,Attempted
2015,Bydgoszcz,drowning,5,Attempted
2015,Bydgoszcz,hanging,260,Attempted
2015,Bydgoszcz,throwing to moving vehicle,7,Attempted
2015,Bydgoszcz,shooting,2,Attempted
2015,Bydgoszcz,pills,5,Attempted
2015,Białystok,gas,3,Attempted
2015,Białystok,poison,1,Attempted
2015,Białystok,damaging circulatory system,11,Attempted
2015,Białystok,self harm,19,Attempted
2015,Białystok,throwing from height,32,Attempted
2015,Białystok,drowning,3,Attempted
2015,Białystok,hanging,192,Attempted
2015,Białystok,throwing to moving vehicle,6,Attempted
2015,Białystok,shooting,2,Attempted
2015,Białystok,pills,13,Attempted
2015,Gdańsk,gas,2,Attempted
2015,Gdańsk,poison,1,Attempted
2015,Gdańsk,damaging circulatory system,9,Attempted
2015,Gdańsk,self harm,24,Attempted
2015,Gdańsk,throwing from height,41,Attempted
2015,Gdańsk,drowning,10,Attempted
2015,Gdańsk,hanging,313,Attempted
2015,Gdańsk,throwing to moving vehicle,13,Attempted
2015,Gdańsk,shooting,8,Attempted
2015,Gdańsk,pills,28,Attempted
2015,Gorzów Wlkp.,gas,0,Attempted
2015,Gorzów Wlkp.,poison,0,Attempted
2015,Gorzów Wlkp.,damaging circulatory system,7,Attempted
2015,Gorzów Wlkp.,self harm,18,Attempted
2015,Gorzów Wlkp.,throwing from height,17,Attempted
2015,Gorzów Wlkp.,drowning,3,Attempted
2015,Gorzów Wlkp.,hanging,186,Attempted
2015,Gorzów Wlkp.,throwing to moving vehicle,5,Attempted
2015,Gorzów Wlkp.,shooting,5,Attempted
2015,Gorzów Wlkp.,pills,12,Attempted
2015,Katowice,gas,19,Attempted
2015,Katowice,poison,9,Attempted
2015,Katowice,damaging circulatory system,95,Attempted
2015,Katowice,self harm,150,Attempted
2015,Katowice,throwing from height,144,Attempted
2015,Katowice,drowning,9,Attempted
2015,Katowice,hanging,736,Attempted
2015,Katowice,throwing to moving vehicle,41,Attempted
2015,Katowice,shooting,10,Attempted
2015,Katowice,pills,114,Attempted
2015,Kielce,gas,7,Attempted
2015,Kielce,poison,8,Attempted
2015,Kielce,damaging circulatory system,40,Attempted
2015,Kielce,self harm,85,Attempted
2015,Kielce,throwing from height,66,Attempted
2015,Kielce,drowning,11,Attempted
2015,Kielce,hanging,375,Attempted
2015,Kielce,throwing to moving vehicle,17,Attempted
2015,Kielce,shooting,2,Attempted
2015,Kielce,pills,62,Attempted
2015,Kraków,gas,5,Attempted
2015,Kraków,poison,5,Attempted
2015,Kraków,damaging circulatory system,44,Attempted
2015,Kraków,self harm,83,Attempted
2015,Kraków,throwing from height,69,Attempted
2015,Kraków,drowning,14,Attempted
2015,Kraków,hanging,466,Attempted
2015,Kraków,throwing to moving vehicle,12,Attempted
2015,Kraków,shooting,7,Attempted
2015,Kraków,pills,81,Attempted
2015,Łódź,gas,11,Attempted
2015,Łódź,poison,6,Attempted
2015,Łódź,damaging circulatory system,53,Attempted
2015,Łódź,self harm,99,Attempted
2015,Łódź,throwing from height,89,Attempted
2015,Łódź,drowning,4,Attempted
2015,Łódź,hanging,465,Attempted
2015,Łódź,throwing to moving vehicle,23,Attempted
2015,Łódź,shooting,6,Attempted
2015,Łódź,pills,58,Attempted
2015,Lublin,gas,4,Attempted
2015,Lublin,poison,7,Attempted
2015,Lublin,damaging circulatory system,8,Attempted
2015,Lublin,self harm,22,Attempted
2015,Lublin,throwing from height,44,Attempted
2015,Lublin,drowning,8,Attempted
2015,Lublin,hanging,364,Attempted
2015,Lublin,throwing to moving vehicle,7,Attempted
2015,Lublin,shooting,2,Attempted
2015,Lublin,pills,13,Attempted
2015,Olsztyn,gas,1,Attempted
2015,Olsztyn,poison,3,Attempted
2015,Olsztyn,damaging circulatory system,28,Attempted
2015,Olsztyn,self harm,70,Attempted
2015,Olsztyn,throwing from height,43,Attempted
2015,Olsztyn,drowning,13,Attempted
2015,Olsztyn,hanging,359,Attempted
2015,Olsztyn,throwing to moving vehicle,5,Attempted
2015,Olsztyn,shooting,1,Attempted
2015,Olsztyn,pills,26,Attempted
2015,Opole,gas,4,Attempted
2015,Opole,poison,1,Attempted
2015,Opole,damaging circulatory system,5,Attempted
2015,Opole,self harm,17,Attempted
2015,Opole,throwing from height,16,Attempted
2015,Opole,drowning,3,Attempted
2015,Opole,hanging,157,Attempted
2015,Opole,throwing to moving vehicle,2,Attempted
2015,Opole,shooting,2,Attempted
2015,Opole,pills,8,Attempted
2015,Poznań,gas,4,Attempted
2015,Poznań,poison,0,Attempted
2015,Poznań,damaging circulatory system,12,Attempted
2015,Poznań,self harm,31,Attempted
2015,Poznań,throwing from height,48,Attempted
2015,Poznań,drowning,6,Attempted
2015,Poznań,hanging,402,Attempted
2015,Poznań,throwing to moving vehicle,25,Attempted
2015,Poznań,shooting,3,Attempted
2015,Poznań,pills,17,Attempted
2015,Rzeszów,gas,2,Attempted
2015,Rzeszów,poison,4,Attempted
2015,Rzeszów,damaging circulatory system,12,Attempted
2015,Rzeszów,self harm,54,Attempted
2015,Rzeszów,throwing from height,27,Attempted
2015,Rzeszów,drowning,7,Attempted
2015,Rzeszów,hanging,307,Attempted
2015,Rzeszów,throwing to moving vehicle,7,Attempted
2015,Rzeszów,shooting,2,Attempted
2015,Rzeszów,pills,22,Attempted
2015,Szczecin,gas,6,Attempted
2015,Szczecin,poison,0,Attempted
2015,Szczecin,damaging circulatory system,3,Attempted
2015,Szczecin,self harm,22,Attempted
2015,Szczecin,throwing from height,34,Attempted
2015,Szczecin,drowning,11,Attempted
2015,Szczecin,hanging,317,Attempted
2015,Szczecin,throwing to moving vehicle,7,Attempted
2015,Szczecin,shooting,2,Attempted
2015,Szczecin,pills,17,Attempted
2015,Warszawa,gas,6,Attempted
2015,Warszawa,poison,2,Attempted
2015,Warszawa,damaging circulatory system,7,Attempted
2015,Warszawa,self harm,16,Attempted
2015,Warszawa,throwing from height,92,Attempted
2015,Warszawa,drowning,1,Attempted
2015,Warszawa,hanging,287,Attempted
2015,Warszawa,throwing to moving vehicle,16,Attempted
2015,Warszawa,shooting,12,Attempted
2015,Warszawa,pills,15,Attempted
2015,Radom,gas,4,Attempted
2015,Radom,poison,2,Attempted
2015,Radom,damaging circulatory system,11,Attempted
2015,Radom,self harm,35,Attempted
2015,Radom,throwing from height,20,Attempted
2015,Radom,drowning,5,Attempted
2015,Radom,hanging,437,Attempted
2015,Radom,throwing to moving vehicle,3,Attempted
2015,Radom,shooting,5,Attempted
2015,Radom,pills,16,Attempted
2015,Wrocław,gas,5,Attempted
2015,Wrocław,poison,2,Attempted
2015,Wrocław,damaging circulatory system,16,Attempted
2015,Wrocław,self harm,31,Attempted
2015,Wrocław,throwing from height,67,Attempted
2015,Wrocław,drowning,6,Attempted
2015,Wrocław,hanging,443,Attempted
2015,Wrocław,throwing to moving vehicle,11,Attempted
2015,Wrocław,shooting,8,Attempted
2015,Wrocław,pills,13,Attempted
2016,Bydgoszcz,gas,1,Attempted
2016,Bydgoszcz,poison,0,Attempted
2016,Bydgoszcz,damaging circulatory system,7,Attempted
2016,Bydgoszcz,self harm,14,Attempted
2016,Bydgoszcz,throwing from height,25,Attempted
2016,Bydgoszcz,drowning,8,Attempted
2016,Bydgoszcz,hanging,259,Attempted
2016,Bydgoszcz,throwing to moving vehicle,7,Attempted
2016,Bydgoszcz,shooting,12,Attempted
2016,Bydgoszcz,pills,6,Attempted
2016,Białystok,gas,2,Attempted
2016,Białystok,poison,2,Attempted
2016,Białystok,damaging circulatory system,15,Attempted
2016,Białystok,self harm,40,Attempted
2016,Białystok,throwing from height,46,Attempted
2016,Białystok,drowning,5,Attempted
2016,Białystok,hanging,217,Attempted
2016,Białystok,throwing to moving vehicle,4,Attempted
2016,Białystok,shooting,7,Attempted
2016,Białystok,pills,9,Attempted
2016,Gdańsk,gas,2,Attempted
2016,Gdańsk,poison,0,Attempted
2016,Gdańsk,damaging circulatory system,16,Attempted
2016,Gdańsk,self harm,40,Attempted
2016,Gdańsk,throwing from height,32,Attempted
2016,Gdańsk,drowning,12,Attempted
2016,Gdańsk,hanging,289,Attempted
2016,Gdańsk,throwing to moving vehicle,12,Attempted
2016,Gdańsk,shooting,3,Attempted
2016,Gdańsk,pills,26,Attempted
2016,Gorzów Wlkp.,gas,2,Attempted
2016,Gorzów Wlkp.,poison,1,Attempted
2016,Gorzów Wlkp.,damaging circulatory system,9,Attempted
2016,Gorzów Wlkp.,self harm,20,Attempted
2016,Gorzów Wlkp.,throwing from height,16,Attempted
2016,Gorzów Wlkp.,drowning,1,Attempted
2016,Gorzów Wlkp.,hanging,189,Attempted
2016,Gorzów Wlkp.,throwing to moving vehicle,6,Attempted
2016,Gorzów Wlkp.,shooting,4,Attempted
2016,Gorzów Wlkp.,pills,7,Attempted
2016,Katowice,gas,7,Attempted
2016,Katowice,poison,7,Attempted
2016,Katowice,damaging circulatory system,78,Attempted
2016,Katowice,self harm,154,Attempted
2016,Katowice,throwing from height,125,Attempted
2016,Katowice,drowning,10,Attempted
2016,Katowice,hanging,700,Attempted
2016,Katowice,throwing to moving vehicle,43,Attempted
2016,Katowice,shooting,9,Attempted
2016,Katowice,pills,130,Attempted
2016,Kielce,gas,2,Attempted
2016,Kielce,poison,5,Attempted
2016,Kielce,damaging circulatory system,30,Attempted
2016,Kielce,self harm,75,Attempted
2016,Kielce,throwing from height,51,Attempted
2016,Kielce,drowning,9,Attempted
2016,Kielce,hanging,330,Attempted
2016,Kielce,throwing to moving vehicle,11,Attempted
2016,Kielce,shooting,3,Attempted
2016,Kielce,pills,48,Attempted
2016,Kraków,gas,9,Attempted
2016,Kraków,poison,4,Attempted
2016,Kraków,damaging circulatory system,48,Attempted
2016,Kraków,self harm,115,Attempted
2016,Kraków,throwing from height,78,Attempted
2016,Kraków,drowning,18,Attempted
2016,Kraków,hanging,483,Attempted
2016,Kraków,throwing to moving vehicle,25,Attempted
2016,Kraków,shooting,9,Attempted
2016,Kraków,pills,111,Attempted
2016,Łódź,gas,6,Attempted
2016,Łódź,poison,11,Attempted
2016,Łódź,damaging circulatory system,62,Attempted
2016,Łódź,self harm,102,Attempted
2016,Łódź,throwing from height,102,Attempted
2016,Łódź,drowning,7,Attempted
2016,Łódź,hanging,457,Attempted
2016,Łódź,throwing to moving vehicle,32,Attempted
2016,Łódź,shooting,7,Attempted
2016,Łódź,pills,92,Attempted
2016,Lublin,gas,2,Attempted
2016,Lublin,poison,4,Attempted
2016,Lublin,damaging circulatory system,6,Attempted
2016,Lublin,self harm,22,Attempted
2016,Lublin,throwing from height,27,Attempted
2016,Lublin,drowning,9,Attempted
2016,Lublin,hanging,346,Attempted
2016,Lublin,throwing to moving vehicle,12,Attempted
2016,Lublin,shooting,6,Attempted
2016,Lublin,pills,12,Attempted
2016,Olsztyn,gas,4,Attempted
2016,Olsztyn,poison,1,Attempted
2016,Olsztyn,damaging circulatory system,17,Attempted
2016,Olsztyn,self harm,61,Attempted
2016,Olsztyn,throwing from height,22,Attempted
2016,Olsztyn,drowning,9,Attempted
2016,Olsztyn,hanging,302,Attempted
2016,Olsztyn,throwing to moving vehicle,5,Attempted
2016,Olsztyn,shooting,4,Attempted
2016,Olsztyn,pills,21,Attempted
2016,Opole,gas,6,Attempted
2016,Opole,poison,0,Attempted
2016,Opole,damaging circulatory system,6,Attempted
2016,Opole,self harm,19,Attempted
2016,Opole,throwing from height,21,Attempted
2016,Opole,drowning,1,Attempted
2016,Opole,hanging,149,Attempted
2016,Opole,throwing to moving vehicle,3,Attempted
2016,Opole,shooting,1,Attempted
2016,Opole,pills,12,Attempted
2016,Poznań,gas,6,Attempted
2016,Poznań,poison,2,Attempted
2016,Poznań,damaging circulatory system,22,Attempted
2016,Poznań,self harm,27,Attempted
2016,Poznań,throwing from height,31,Attempted
2016,Poznań,drowning,10,Attempted
2016,Poznań,hanging,392,Attempted
2016,Poznań,throwing to moving vehicle,16,Attempted
2016,Poznań,shooting,5,Attempted
2016,Poznań,pills,15,Attempted
2016,Rzeszów,gas,7,Attempted
2016,Rzeszów,poison,5,Attempted
2016,Rzeszów,damaging circulatory system,20,Attempted
2016,Rzeszów,self harm,29,Attempted
2016,Rzeszów,throwing from height,28,Attempted
2016,Rzeszów,drowning,7,Attempted
2016,Rzeszów,hanging,282,Attempted
2016,Rzeszów,throwing to moving vehicle,7,Attempted
2016,Rzeszów,shooting,4,Attempted
2016,Rzeszów,pills,19,Attempted
2016,Szczecin,gas,1,Attempted
2016,Szczecin,poison,0,Attempted
2016,Szczecin,damaging circulatory system,14,Attempted
2016,Szczecin,self harm,22,Attempted
2016,Szczecin,throwing from height,34,Attempted
2016,Szczecin,drowning,3,Attempted
2016,Szczecin,hanging,297,Attempted
2016,Szczecin,throwing to moving vehicle,6,Attempted
2016,Szczecin,shooting,7,Attempted
2016,Szczecin,pills,11,Attempted
2016,Warszawa,gas,5,Attempted
2016,Warszawa,poison,3,Attempted
2016,Warszawa,damaging circulatory system,21,Attempted
2016,Warszawa,self harm,25,Attempted
2016,Warszawa,throwing from height,70,Attempted
2016,Warszawa,drowning,3,Attempted
2016,Warszawa,hanging,282,Attempted
2016,Warszawa,throwing to moving vehicle,16,Attempted
