year,garnizon,reason,suicides,outcome
2013,Gorzów Wlkp.,poor economical condition,13,Attempted
2013,Gorzów Wlkp.,committing a crime,1,Attempted
2013,Gorzów Wlkp.,unwanted pregnancy,1,Attempted
2013,Gorzów Wlkp.,death of a loved one,4,Attempted
2013,Katowice,mental illness,110,Attempted
2013,Katowice,physical illness,78,Attempted
2013,Katowice,virus carrier,0,Attempted
2013,Katowice,disability,1,Attempted
2013,Katowice,family problems,146,Attempted
2013,Katowice,heartbreak,87,Attempted
2013,Katowice,school/work problems,3,Attempted
2013,Katowice,loss of source of income,23,Attempted
2013,Katowice,poor economical condition,79,Attempted
2013,Katowice,committing a crime,10,Attempted
2013,Katowice,unwanted pregnancy,3,Attempted
2013,Katowice,death of a loved one,20,Attempted
2013,Kielce,mental illness,65,Attempted
2013,Kielce,physical illness,45,Attempted
2013,Kielce,virus carrier,0,Attempted
2013,Kielce,disability,0,Attempted
2013,Kielce,family problems,147,Attempted
2013,Kielce,heartbreak,63,Attempted
2013,Kielce,school/work problems,2,Attempted
2013,Kielce,loss of source of income,15,Attempted
2013,Kielce,poor economical condition,37,Attempted
2013,Kielce,committing a crime,2,Attempted
2013,Kielce,unwanted pregnancy,1,Attempted
2013,Kielce,death of a loved one,14,Attempted
2013,Kraków,mental illness,98,Attempted
2013,Kraków,physical illness,46,Attempted
2013,Kraków,virus carrier,1,Attempted
2013,Kraków,disability,1,Attempted
2013,Kraków,family problems,63,Attempted
2013,Kraków,heartbreak,45,Attempted
2013,Kraków,school/work problems,2,Attempted
2013,Kraków,loss of source of income,8,Attempted
2013,Kraków,poor economical condition,30,Attempted
2013,Kraków,committing a crime,3,Attempted
2013,Kraków,unwanted pregnancy,0,Attempted
2013,Kraków,death of a loved one,9,Attempted
2013,Łódź,mental illness,64,Attempted
2013,Łódź,physical illness,51,Attempted
2013,Łódź,virus carrier,1,Attempted
2013,Łódź,disability,5,Attempted
2013,Łódź,family problems,76,Attempted
2013,Łódź,heartbreak,50,Attempted
2013,Łódź,school/work problems,1,Attempted
2013,Łódź,loss of source of income,10,Attempted
2013,Łódź,poor economical condition,51,Attempted
2013,Łódź,committing a crime,4,Attempted
2013,Łódź,unwanted pregnancy,0,Attempted
2013,Łódź,death of a loved one,15,Attempted
2013,Lublin,mental illness,48,Attempted
2013,Lublin,physical illness,42,Attempted
2013,Lublin,virus carrier,0,Attempted
2013,Lublin,disability,0,Attempted
2013,Lublin,family problems,53,Attempted
2013,Lublin,heartbreak,23,Attempted
2013,Lublin,school/work problems,1,Attempted
2013,Lublin,loss of source of income,5,Attempted
2013,Lublin,poor economical condition,18,Attempted
2013,Lublin,committing a crime,4,Attempted
2013,Lublin,unwanted pregnancy,1,Attempted
2013,Lublin,death of a loved one,8,Attempted
2013,Olsztyn,mental illness,41,Attempted
2013,Olsztyn,physical illness,19,Attempted
2013,Olsztyn,virus carrier,0,Attempted
2013,Olsztyn,disability,1,Attempted
2013,Olsztyn,family problems,84,Attempted
2013,Olsztyn,heartbreak,47,Attempted
2013,Olsztyn,school/work problems,3,Attempted
2013,Olsztyn,loss of source of income,9,Attempted
2013,Olsztyn,poor economical condition,25,Attempted
2013,Olsztyn,committing a crime,2,Attempted
2013,Olsztyn,unwanted pregnancy,0,Attempted
2013,Olsztyn,death of a loved one,7,Attempted
2013,Opole,mental illness,11,Attempted
2013,Opole,physical illness,9,Attempted
2013,Opole,virus carrier,0,Attempted
2013,Opole,disability,0,Attempted
2013,Opole,family problems,24,Attempted
2013,Opole,heartbreak,9,Attempted
2013,Opole,school/work problems,0,Attempted
2013,Opole,loss of source of income,4,Attempted
2013,Opole,poor economical condition,11,Attempted
2013,Opole,committing a crime,0,Attempted
2013,Opole,unwanted pregnancy,0,Attempted
2013,Opole,death of a loved one,1,Attempted
2013,Poznań,mental illness,35,Attempted
2013,Poznań,physical illness,38,Attempted
2013,Poznań,virus carrier,0,Attempted
2013,Poznań,disability,0,Attempted
2013,Poznań,family problems,45,Attempted
2013,Poznań,heartbreak,28,Attempted
2013,Poznań,school/work problems,3,Attempted
2013,Poznań,loss of source of income,13,Attempted
2013,Poznań,poor economical condition,40,Attempted
2013,Poznań,committing a crime,3,Attempted
2013,Poznań,unwanted pregnancy,0,Attempted
2013,Poznań,death of a loved one,7,Attempted
2013,Rzeszów,mental illness,43,Attempted
2013,Rzeszów,physical illness,30,Attempted
2013,Rzeszów,virus carrier,0,Attempted
2013,Rzeszów,disability,1,Attempted
2013,Rzeszów,family problems,27,Attempted
2013,Rzeszów,heartbreak,14,Attempted
2013,Rzeszów,school/work problems,1,Attempted
2013,Rzeszów,loss of source of income,4,Attempted
2013,Rzeszów,poor economical condition,16,Attempted
2013,Rzeszów,committing a crime,1,Attempted
2013,Rzeszów,unwanted pregnancy,0,Attempted
2013,Rzeszów,death of a loved one,6,Attempted
2013,Szczecin,mental illness,38,Attempted
2013,Szczecin,physical illness,24,Attempted
2013,Szczecin,virus carrier,1,Attempted
2013,Szczecin,disability,0,Attempted
2013,Szczecin,family problems,58,Attempted
2013,Szczecin,heartbreak,23,Attempted
2013,Szczecin,school/work problems,2,Attempted
2013,Szczecin,loss of source of income,10,Attempted
2013,Szczecin,poor economical condition,25,Attempted
2013,Szczecin,committing a crime,0,Attempted
2013,Szczecin,unwanted pregnancy,0,Attempted
2013,Szczecin,death of a loved one,7,Attempted
2013,Warszawa,mental illness,59,Attempted
2013,Warszawa,physical illness,39,Attempted
2013,Warszawa,virus carrier,0,Attempted
2013,Warszawa,disability,0,Attempted
2013,Warszawa,family problems,39,Attempted
2013,Warszawa,heartbreak,18,Attempted
2013,Warszawa,school/work problems,0,Attempted
2013,Warszawa,loss of source of income,12,Attempted
2013,Warszawa,poor economical condition,27,Attempted
2013,Warszawa,committing a crime,2,Attempted
2013,Warszawa,unwanted pregnancy,0,Attempted
2013,Warszawa,death of a loved one,6,Attempted
2013,Radom,mental illness,39,Attempted
2013,Radom,physical illness,36,Attempted
2013,Radom,virus carrier,0,Attempted
2013,Radom,disability,1,Attempted
2013,Radom,family problems,31,Attempted
2013,Radom,heartbreak,32,Attempted
2013,Radom,school/work problems,1,Attempted
2013,Radom,loss of source of income,4,Attempted
2013,Radom,poor economical condition,20,Attempted
2013,Radom,committing a crime,5,Attempted
2013,Radom,unwanted pregnancy,0,Attempted
2013,Radom,death of a loved one,12,Attempted
2013,Wrocław,mental illness,50,Attempted
2013,Wrocław,physical illness,43,Attempted
2013,Wrocław,virus carrier,0,Attempted
2013,Wrocław,disability,0,Attempted
2013,Wrocław,family problems,56,Attempted
2013,Wrocław,heartbreak,37,Attempted
2013,Wrocław,school/work problems,2,Attempted
2013,Wrocław,loss of source of income,6,Attempted
2013,Wrocław,poor economical condition,37,Attempted
2013,Wrocław,committing a crime,5,Attempted
2013,Wrocław,unwanted pregnancy,0,Attempted
2013,Wrocław,death of a loved one,13,Attempted
2014,Bydgoszcz,mental illness,20,Attempted
2014,Bydgoszcz,physical illness,15,Attempted
2014,Bydgoszcz,virus carrier,0,Attempted
2014,Bydgoszcz,disability,0,Attempted
2014,Bydgoszcz,family problems,37,Attempted
2014,Bydgoszcz,heartbreak,15,Attempted
2014,Bydgoszcz,school/work problems,1,Attempted
2014,Bydgoszcz,loss of source of income,7,Attempted
2014,Bydgoszcz,poor economical condition,24,Attempted
2014,Bydgoszcz,committing a crime,1,Attempted
2014,Bydgoszcz,unwanted pregnancy,0,Attempted
2014,Bydgoszcz,death of a loved one,5,Attempted
2014,Białystok,mental illness,42,Attempted
2014,Białystok,physical illness,10,Attempted
2014,Białystok,virus carrier,0,Attempted
2014,Białystok,disability,0,Attempted
2014,Białystok,family problems,48,Attempted
2014,Białystok,heartbreak,42,Attempted
2014,Białystok,school/work problems,0,Attempted
2014,Białystok,loss of source of income,8,Attempted
2014,Białystok,poor economical condition,15,Attempted
2014,Białystok,committing a crime,2,Attempted
2014,Białystok,unwanted pregnancy,0,Attempted
2014,Białystok,death of a loved one,2,Attempted
2014,Gdańsk,mental illness,36,Attempted
2014,Gdańsk,physical illness,23,Attempted
2014,Gdańsk,virus carrier,1,Attempted
2014,Gdańsk,disability,2,Attempted
2014,Gdańsk,family problems,63,Attempted
2014,Gdańsk,heartbreak,30,Attempted
2014,Gdańsk,school/work problems,3,Attempted
2014,Gdańsk,loss of source of income,9,Attempted
2014,Gdańsk,poor economical condition,33,Attempted
2014,Gdańsk,committing a crime,4,Attempted
2014,Gdańsk,unwanted pregnancy,0,Attempted
2014,Gdańsk,death of a loved one,7,Attempted
2014,Gorzów Wlkp.,mental illness,7,Attempted
2014,Gorzów Wlkp.,physical illness,13,Attempted
2014,Gorzów Wlkp.,virus carrier,0,Attempted
2014,Gorzów Wlkp.,disability,0,Attempted
2014,Gorzów Wlkp.,family problems,35,Attempted
2014,Gorzów Wlkp.,heartbreak,22,Attempted
2014,Gorzów Wlkp.,school/work problems,0,Attempted
2014,Gorzów Wlkp.,loss of source of income,2,Attempted
2014,Gorzów Wlkp.,poor economical condition,6,Attempted
2014,Gorzów Wlkp.,committing a crime,0,Attempted
2014,Gorzów Wlkp.,unwanted pregnancy,0,Attempted
2014,Gorzów Wlkp.,death of a loved one,3,Attempted
2014,Katowice,mental illness,184,Attempted
2014,Katowice,physical illness,88,Attempted
2014,Katowice,virus carrier,0,Attempted
2014,Katowice,disability,1,Attempted
2014,Katowice,family problems,210,Attempted
2014,Katowice,heartbreak,116,Attempted
2014,Katowice,school/work problems,6,Attempted
2014,Katowice,loss of source of income,26,Attempted
2014,Katowice,poor economical condition,90,Attempted
2014,Katowice,committing a crime,9,Attempted
2014,Katowice,unwanted pregnancy,1,Attempted
2014,Katowice,death of a loved one,25,Attempted
2014,Kielce,mental illness,101,Attempted
2014,Kielce,physical illness,48,Attempted
2014,Kielce,virus carrier,0,Attempted
2014,Kielce,disability,1,Attempted
2014,Kielce,family problems,147,Attempted
2014,Kielce,heartbreak,90,Attempted
2014,Kielce,school/work problems,1,Attempted
2014,Kielce,loss of source of income,15,Attempted
2014,Kielce,poor economical condition,44,Attempted
2014,Kielce,committing a crime,2,Attempted
2014,Kielce,unwanted pregnancy,0,Attempted
2014,Kielce,death of a loved one,20,Attempted
2014,Kraków,mental illness,163,Attempted
2014,Kraków,physical illness,54,Attempted
2014,Kraków,virus carrier,0,Attempted
2014,Kraków,disability,5,Attempted
2014,Kraków,family problems,102,Attempted
2014,Kraków,heartbreak,56,Attempted
2014,Kraków,school/work problems,5,Attempted
2014,Kraków,loss of source of income,19,Attempted
2014,Kraków,poor economical condition,39,Attempted
2014,Kraków,committing a crime,6,Attempted
2014,Kraków,unwanted pregnancy,1,Attempted
2014,Kraków,death of a loved one,21,Attempted
2014,Łódź,mental illness,80,Attempted
2014,Łódź,physical illness,54,Attempted
2014,Łódź,virus carrier,1,Attempted
2014,Łódź,disability,2,Attempted
2014,Łódź,family problems,123,Attempted
2014,Łódź,heartbreak,75,Attempted
2014,Łódź,school/work problems,2,Attempted
2014,Łódź,loss of source of income,17,Attempted
2014,Łódź,poor economical condition,43,Attempted
2014,Łódź,committing a crime,6,Attempted
2014,Łódź,unwanted pregnancy,0,Attempted
2014,Łódź,death of a loved one,20,Attempted
2014,Lublin,mental illness,31,Attempted
2014,Lublin,physical illness,38,Attempted
2014,Lublin,virus carrier,0,Attempted
2014,Lublin,disability,1,Attempted
2014,Lublin,family problems,73,Attempted
2014,Lublin,heartbreak,42,Attempted
2014,Lublin,school/work problems,3,Attempted
2014,Lublin,loss of source of income,5,Attempted
2014,Lublin,poor economical condition,24,Attempted
2014,Lublin,committing a crime,1,Attempted
2014,Lublin,unwanted pregnancy,0,Attempted
2014,Lublin,death of a loved one,11,Attempted
2014,Olsztyn,mental illness,54,Attempted
2014,Olsztyn,physical illness,26,Attempted
2014,Olsztyn,virus carrier,1,Attempted
2014,Olsztyn,disability,0,Attempted
2014,Olsztyn,family problems,98,Attempted
2014,Olsztyn,heartbreak,80,Attempted
2014,Olsztyn,school/work problems,3,Attempted
2014,Olsztyn,loss of source of income,10,Attempted
2014,Olsztyn,poor economical condition,30,Attempted
2014,Olsztyn,committing a crime,6,Attempted
2014,Olsztyn,unwanted pregnancy,0,Attempted
2014,Olsztyn,death of a loved one,12,Attempted
2014,Opole,mental illness,26,Attempted
2014,Opole,physical illness,19,Attempted
2014,Opole,virus carrier,1,Attempted
2014,Opole,disability,0,Attempted
2014,Opole,family problems,48,Attempted
2014,Opole,heartbreak,16,Attempted
2014,Opole,school/work problems,1,Attempted
2014,Opole,loss of source of income,5,Attempted
2014,Opole,poor economical condition,17,Attempted
2014,Opole,committing a crime,4,Attempted
2014,Opole,unwanted pregnancy,1,Attempted
2014,Opole,death of a loved one,10,Attempted
2014,Poznań,mental illness,58,Attempted
2014,Poznań,physical illness,40,Attempted
2014,Poznań,virus carrier,0,Attempted
2014,Poznań,disability,1,Attempted
2014,Poznań,family problems,89,Attempted
2014,Poznań,heartbreak,41,Attempted
2014,Poznań,school/work problems,2,Attempted
2014,Poznań,loss of source of income,8,Attempted
2014,Poznań,poor economical condition,31,Attempted
2014,Poznań,committing a crime,3,Attempted
2014,Poznań,unwanted pregnancy,1,Attempted
2014,Poznań,death of a loved one,12,Attempted
2014,Rzeszów,mental illness,57,Attempted
2014,Rzeszów,physical illness,28,Attempted
2014,Rzeszów,virus carrier,0,Attempted
2014,Rzeszów,disability,0,Attempted
2014,Rzeszów,family problems,48,Attempted
2014,Rzeszów,heartbreak,24,Attempted
2014,Rzeszów,school/work problems,3,Attempted
2014,Rzeszów,loss of source of income,7,Attempted
2014,Rzeszów,poor economical condition,12,Attempted
2014,Rzeszów,committing a crime,2,Attempted
2014,Rzeszów,unwanted pregnancy,1,Attempted
2014,Rzeszów,death of a loved one,8,Attempted
2014,Szczecin,mental illness,56,Attempted
2014,Szczecin,physical illness,33,Attempted
2014,Szczecin,virus carrier,0,Attempted
2014,Szczecin,disability,1,Attempted
2014,Szczecin,family problems,79,Attempted
2014,Szczecin,heartbreak,44,Attempted
2014,Szczecin,school/work problems,2,Attempted
2014,Szczecin,loss of source of income,10,Attempted
2014,Szczecin,poor economical condition,32,Attempted
2014,Szczecin,committing a crime,3,Attempted
2014,Szczecin,unwanted pregnancy,1,Attempted
2014,Szczecin,death of a loved one,12,Attempted
2014,Warszawa,mental illness,61,Attempted
2014,Warszawa,physical illness,38,Attempted
2014,Warszawa,virus carrier,1,Attempted
2014,Warszawa,disability,3,Attempted
2014,Warszawa,family problems,34,Attempted
2014,Warszawa,heartbreak,35,Attempted
2014,Warszawa,school/work problems,2,Attempted
2014,Warszawa,loss of source of income,7,Attempted
2014,Warszawa,poor economical condition,32,Attempted
2014,Warszawa,committing a crime,1,Attempted
2014,Warszawa,unwanted pregnancy,1,Attempted
2014,Warszawa,death of a loved one,9,Attempted
2014,Radom,mental illness,61,Attempted
2014,Radom,physical illness,30,Attempted
2014,Radom,virus carrier,0,Attempted
2014,Radom,disability,0,Attempted
2014,Radom,family problems,53,Attempted
2014,Radom,heartbreak,36,Attempted
2014,Radom,school/work problems,6,Attempted
2014,Radom,loss of source of income,5,Attempted
2014,Radom,poor economical condition,40,Attempted
2014,Radom,committing a crime,2,Attempted
2014,Radom,unwanted pregnancy,2,Attempted
2014,Radom,death of a loved one,6,Attempted
2014,Wrocław,mental illness,64,Attempted
2014,Wrocław,physical illness,43,Attempted
2014,Wrocław,virus carrier,1,Attempted
2014,Wrocław,disability,4,Attempted
2014,Wrocław,family problems,71,Attempted
2014,Wrocław,heartbreak,50,Attempted
2014,Wrocław,school/work problems,1,Attempted
2014,Wrocław,loss of source of income,11,Attempted
2014,Wrocław,poor economical condition,42,Attempted
2014,Wrocław,committing a crime,5,Attempted
2014,Wrocław,unwanted pregnancy,1,Attempted
2014,Wrocław,death of a loved one,17,Attempted
2015,Bydgoszcz,mental illness,32,Attempted
2015,Bydgoszcz,physical illness,22,Attempted
2015,Bydgoszcz,virus carrier,0,Attempted
2015,Bydgoszcz,disability,3,Attempted
2015,Bydgoszcz,family problems,35,Attempted
2015,Bydgoszcz,heartbreak,14,Attempted
2015,Bydgoszcz,school/work problems,1,Attempted
2015,Bydgoszcz,loss of source of income,2,Attempted
2015,Bydgoszcz,poor economical condition,15,Attempted
2015,Bydgoszcz,committing a crime,1,Attempted
2015,Bydgoszcz,unwanted pregnancy,0,Attempted
2015,Bydgoszcz,death of a loved one,4,Attempted
2015,Białystok,mental illness,39,Attempted
2015,Białystok,physical illness,15,Attempted
2015,Białystok,virus carrier,0,Attempted
2015,Białystok,disability,1,Attempted
2015,Białystok,family problems,45,Attempted
2015,Białystok,heartbreak,26,Attempted
2015,Białystok,school/work problems,1,Attempted
2015,Białystok,loss of source of income,1,Attempted
2015,Białystok,poor economical condition,5,Attempted
2015,Białystok,committing a crime,5,Attempted
2015,Białystok,unwanted pregnancy,0,Attempted
2015,Białystok,death of a loved one,4,Attempted
2015,Gdańsk,mental illness,37,Attempted
2015,Gdańsk,physical illness,26,Attempted
2015,Gdańsk,virus carrier,0,Attempted
2015,Gdańsk,disability,2,Attempted
2015,Gdańsk,family problems,50,Attempted
2015,Gdańsk,heartbreak,35,Attempted
2015,Gdańsk,school/work problems,3,Attempted
2015,Gdańsk,loss of source of income,7,Attempted
2015,Gdańsk,poor economical condition,16,Attempted
2015,Gdańsk,committing a crime,2,Attempted
2015,Gdańsk,unwanted pregnancy,0,Attempted
2015,Gdańsk,death of a loved one,6,Attempted
2015,Gorzów Wlkp.,mental illness,11,Attempted
2015,Gorzów Wlkp.,physical illness,13,Attempted
2015,Gorzów Wlkp.,virus carrier,0,Attempted
2015,Gorzów Wlkp.,disability,1,Attempted
2015,Gorzów Wlkp.,family problems,39,Attempted
2015,Gorzów Wlkp.,heartbreak,19,Attempted
2015,Gorzów Wlkp.,school/work problems,0,Attempted
2015,Gorzów Wlkp.,loss of source of income,3,Attempted
2015,Gorzów Wlkp.,poor economical condition,14,Attempted
2015,Gorzów Wlkp.,committing a crime,4,Attempted
2015,Gorzów Wlkp.,unwanted pregnancy,0,Attempted
2015,Gorzów Wlkp.,death of a loved one,4,Attempted
2015,Katowice,mental illness,167,Attempted
2015,Katowice,physical illness,93,Attempted
2015,Katowice,virus carrier,1,Attempted
2015,Katowice,disability,4,Attempted
2015,Katowice,family problems,221,Attempted
2015,Katowice,heartbreak,145,Attempted
2015,Katowice,school/work problems,11,Attempted
2015,Katowice,loss of source of income,20,Attempted
2015,Katowice,poor economical condition,72,Attempted
2015,Katowice,committing a crime,9,Attempted
2015,Katowice,unwanted pregnancy,0,Attempted
2015,Katowice,death of a loved one,30,Attempted
2015,Kielce,mental illness,121,Attempted
2015,Kielce,physical illness,31,Attempted
2015,Kielce,virus carrier,2,Attempted
2015,Kielce,disability,1,Attempted
2015,Kielce,family problems,173,Attempted
2015,Kielce,heartbreak,72,Attempted
2015,Kielce,school/work problems,6,Attempted
2015,Kielce,loss of source of income,12,Attempted
2015,Kielce,poor economical condition,35,Attempted
2015,Kielce,committing a crime,2,Attempted
2015,Kielce,unwanted pregnancy,2,Attempted
2015,Kielce,death of a loved one,17,Attempted
2015,Kraków,mental illness,143,Attempted
2015,Kraków,physical illness,51,Attempted
2015,Kraków,virus carrier,0,Attempted
2015,Kraków,disability,2,Attempted
2015,Kraków,family problems,117,Attempted
2015,Kraków,heartbreak,66,Attempted
2015,Kraków,school/work problems,7,Attempted
2015,Kraków,loss of source of income,15,Attempted
2015,Kraków,poor economical condition,19,Attempted
2015,Kraków,committing a crime,1,Attempted
2015,Kraków,unwanted pregnancy,0,Attempted
2015,Kraków,death of a loved one,14,Attempted
2015,Łódź,mental illness,115,Attempted
2015,Łódź,physical illness,48,Attempted
2015,Łódź,virus carrier,0,Attempted
2015,Łódź,disability,1,Attempted
2015,Łódź,family problems,117,Attempted
2015,Łódź,heartbreak,126,Attempted
2015,Łódź,school/work problems,4,Attempted
2015,Łódź,loss of source of income,15,Attempted
2015,Łódź,poor economical condition,30,Attempted
2015,Łódź,committing a crime,9,Attempted
2015,Łódź,unwanted pregnancy,0,Attempted
2015,Łódź,death of a loved one,19,Attempted
2015,Lublin,mental illness,55,Attempted
2015,Lublin,physical illness,32,Attempted
2015,Lublin,virus carrier,0,Attempted
2015,Lublin,disability,0,Attempted
2015,Lublin,family problems,47,Attempted
2015,Lublin,heartbreak,27,Attempted
2015,Lublin,school/work problems,2,Attempted
2015,Lublin,loss of source of income,3,Attempted
2015,Lublin,poor economical condition,13,Attempted
2015,Lublin,committing a crime,3,Attempted
2015,Lublin,unwanted pregnancy,0,Attempted
2015,Lublin,death of a loved one,5,Attempted
2015,Olsztyn,mental illness,53,Attempted
2015,Olsztyn,physical illness,23,Attempted
2015,Olsztyn,virus carrier,0,Attempted
2015,Olsztyn,disability,1,Attempted
2015,Olsztyn,family problems,97,Attempted
2015,Olsztyn,heartbreak,66,Attempted
2015,Olsztyn,school/work problems,2,Attempted
2015,Olsztyn,loss of source of income,6,Attempted
2015,Olsztyn,poor economical condition,21,Attempted
2015,Olsztyn,committing a crime,5,Attempted
2015,Olsztyn,unwanted pregnancy,0,Attempted
2015,Olsztyn,death of a loved one,12,Attempted
2015,Opole,mental illness,26,Attempted
2015,Opole,physical illness,16,Attempted
2015,Opole,virus carrier,0,Attempted
2015,Opole,disability,0,Attempted
2015,Opole,family problems,42,Attempted
2015,Opole,heartbreak,23,Attempted
2015,Opole,school/work problems,1,Attempted
2015,Opole,loss of source of income,4,Attempted
2015,Opole,poor economical condition,20,Attempted
2015,Opole,committing a crime,2,Attempted
2015,Opole,unwanted pregnancy,0,Attempted
2015,Opole,death of a loved one,6,Attempted
2015,Poznań,mental illness,62,Attempted
2015,Poznań,physical illness,33,Attempted
2015,Poznań,virus carrier,0,Attempted
2015,Poznań,disability,0,Attempted
2015,Poznań,family problems,85,Attempted
2015,Poznań,heartbreak,42,Attempted
2015,Poznań,school/work problems,3,Attempted
2015,Poznań,loss of source of income,7,Attempted
2015,Poznań,poor economical condition,28,Attempted
2015,Poznań,committing a crime,5,Attempted
2015,Poznań,unwanted pregnancy,0,Attempted
2015,Poznań,death of a loved one,6,Attempted
2015,Rzeszów,mental illness,66,Attempted
2015,Rzeszów,physical illness,21,Attempted
2015,Rzeszów,virus carrier,0,Attempted
2015,Rzeszów,disability,0,Attempted
2015,Rzeszów,family problems,59,Attempted
2015,Rzeszów,heartbreak,38,Attempted
2015,Rzeszów,school/work problems,5,Attempted
2015,Rzeszów,loss of source of income,4,Attempted
2015,Rzeszów,poor economical condition,15,Attempted
2015,Rzeszów,committing a crime,5,Attempted
2015,Rzeszów,unwanted pregnancy,0,Attempted
2015,Rzeszów,death of a loved one,9,Attempted
2015,Szczecin,mental illness,36,Attempted
2015,Szczecin,physical illness,34,Attempted
2015,Szczecin,virus carrier,0,Attempted
2015,Szczecin,disability,1,Attempted
2015,Szczecin,family problems,55,Attempted
2015,Szczecin,heartbreak,46,Attempted
2015,Szczecin,school/work problems,2,Attempted
2015,Szczecin,loss of source of income,3,Attempted
2015,Szczecin,poor economical condition,19,Attempted
2015,Szczecin,committing a crime,2,Attempted
2015,Szczecin,unwanted pregnancy,1,Attempted
2015,Szczecin,death of a loved one,12,Attempted
2015,Warszawa,mental illness,59,Attempted
2015,Warszawa,physical illness,29,Attempted
2015,Warszawa,virus carrier,1,Attempted
2015,Warszawa,disability,1,Attempted
2015,Warszawa,family problems,41,Attempted
2015,Warszawa,heartbreak,28,Attempted
2015,Warszawa,school/work problems,2,Attempted
2015,Warszawa,loss of source of income,4,Attempted
2015,Warszawa,poor economical condition,17,Attempted
2015,Warszawa,committing a crime,2,Attempted
2015,Warszawa,unwanted pregnancy,1,Attempted
2015,Warszawa,death of a loved one,5,Attempted
2015,Radom,mental illness,44,Attempted
2015,Radom,physical illness,21,Attempted
2015,Radom,virus carrier,0,Attempted
2015,Radom,disability,1,Attempted
2015,Radom,family problems,52,Attempted
2015,Radom,heartbreak,30,Attempted
2015,Radom,school/work problems,0,Attempted
2015,Radom,loss of source of income,5,Attempted
2015,Radom,poor economical condition,18,Attempted
2015,Radom,committing a crime,5,Attempted
2015,Radom,unwanted pregnancy,0,Attempted
2015,Radom,death of a loved one,5,Attempted
2015,Wrocław,mental illness,58,Attempted
2015,Wrocław,physical illness,44,Attempted
2015,Wrocław,virus carrier,0,Attempted
2015,Wrocław,disability,2,Attempted
2015,Wrocław,family problems,66,Attempted
2015,Wrocław,heartbreak,37,Attempted
2015,Wrocław,school/work problems,3,Attempted
2015,Wrocław,loss of source of income,7,Attempted
2015,Wrocław,poor economical condition,32,Attempted
2015,Wrocław,committing a crime,4,Attempted
2015,Wrocław,unwanted pregnancy,0,Attempted
2015,Wrocław,death of a loved one,8,Attempted
2016,Bydgoszcz,mental illness,50,Attempted
2016,Bydgoszcz,physical illness,15,Attempted
2016,Bydgoszcz,virus carrier,0,Attempted
2016,Bydgoszcz,disability,1,Attempted
2016,Bydgoszcz,family problems,36,Attempted
2016,Bydgoszcz,heartbreak,23,Attempted
2016,Bydgoszcz,school/work problems,2,Attempted
2016,Bydgoszcz,loss of source of income,2,Attempted
2016,Bydgoszcz,poor economical condition,6,Attempted
2016,Bydgoszcz,committing a crime,1,Attempted
2016,Bydgoszcz,unwanted pregnancy,0,Attempted
2016,Bydgoszcz,death of a loved one,2,Attempted
2016,Białystok,mental illness,54,Attempted
2016,Białystok,physical illness,12,Attempted
2016,Białystok,virus carrier,0,Attempted
2016,Białystok,disability,0,Attempted
2016,Białystok,family problems,65,Attempted
2016,Białystok,heartbreak,38,Attempted
2016,Białystok,school/work problems,2,Attempted
2016,Białystok,loss of source of income,2,Attempted
