year,garnizon,job,suicides,outcome
1999,Rzeszów,student (elementary),19,Attempted
1999,Rzeszów,student (college/university),3,Attempted
1999,Rzeszów,unemployed,46,Attempted
1999,Białystok,manual,22,Attempted
1999,Białystok,white collar,6,Attempted
1999,Białystok,self-employed,1,Attempted
1999,Białystok,farmer,38,Attempted
1999,Białystok,student (elementary),19,Attempted
1999,Białystok,student (college/university),3,Attempted
1999,Białystok,unemployed,54,Attempted
1999,Gdańsk,manual,62,Attempted
1999,Gdańsk,white collar,7,Attempted
1999,Gdańsk,self-employed,15,Attempted
1999,Gdańsk,farmer,12,Attempted
1999,Gdańsk,student (elementary),11,Attempted
1999,Gdańsk,student (college/university),1,Attempted
1999,Gdańsk,unemployed,61,Attempted
1999,Katowice,manual,122,Attempted
1999,Katowice,white collar,13,Attempted
1999,Katowice,self-employed,28,Attempted
1999,Katowice,farmer,9,Attempted
1999,Katowice,student (elementary),31,Attempted
1999,Katowice,student (college/university),4,Attempted
1999,Katowice,unemployed,111,Attempted
1999,Kielce,manual,31,Attempted
1999,Kielce,white collar,5,Attempted
1999,Kielce,self-employed,8,Attempted
1999,Kielce,farmer,41,Attempted
1999,Kielce,student (elementary),7,Attempted
1999,Kielce,student (college/university),1,Attempted
1999,Kielce,unemployed,45,Attempted
1999,Olsztyn,manual,27,Attempted
1999,Olsztyn,white collar,7,Attempted
1999,Olsztyn,self-employed,7,Attempted
1999,Olsztyn,farmer,17,Attempted
1999,Olsztyn,student (elementary),14,Attempted
1999,Olsztyn,student (college/university),3,Attempted
1999,Olsztyn,unemployed,55,Attempted
1999,Poznań,manual,109,Attempted
1999,Poznań,white collar,32,Attempted
1999,Poznań,self-employed,19,Attempted
1999,Poznań,farmer,61,Attempted
1999,Poznań,student (elementary),43,Attempted
1999,Poznań,student (college/university),6,Attempted
1999,Poznań,unemployed,126,Attempted
1999,Szczecin,manual,51,Attempted
1999,Szczecin,white collar,6,Attempted
1999,Szczecin,self-employed,9,Attempted
1999,Szczecin,farmer,9,Attempted
1999,Szczecin,student (elementary),24,Attempted
1999,Szczecin,student (college/university),4,Attempted
1999,Szczecin,unemployed,85,Attempted
1999,Warszawa,manual,25,Attempted
1999,Warszawa,white collar,8,Attempted
1999,Warszawa,self-employed,6,Attempted
1999,Warszawa,farmer,0,Attempted
1999,Warszawa,student (elementary),9,Attempted
1999,Warszawa,student (college/university),3,Attempted
1999,Warszawa,unemployed,23,Attempted
2000,Wrocław,manual,48,Attempted
2000,Wrocław,white collar,8,Attempted
2000,Wrocław,self-employed,21,Attempted
2000,Wrocław,farmer,19,Attempted
2000,Wrocław,student (elementary),22,Attempted
2000,Wrocław,student (college/university),5,Attempted
2000,Wrocław,unemployed,124,Attempted
2000,Bydgoszcz,manual,46,Attempted
2000,Bydgoszcz,white collar,10,Attempted
2000,Bydgoszcz,self-employed,9,Attempted
2000,Bydgoszcz,farmer,23,Attempted
2000,Bydgoszcz,student (elementary),10,Attempted
2000,Bydgoszcz,student (college/university),1,Attempted
2000,Bydgoszcz,unemployed,64,Attempted
2000,Lublin,manual,24,Attempted
2000,Lublin,white collar,6,Attempted
2000,Lublin,self-employed,7,Attempted
2000,Lublin,farmer,47,Attempted
2000,Lublin,student (elementary),22,Attempted
2000,Lublin,student (college/university),3,Attempted
2000,Lublin,unemployed,74,Attempted
2000,Gorzów Wlkp.,manual,16,Attempted
2000,Gorzów Wlkp.,white collar,5,Attempted
2000,Gorzów Wlkp.,self-employed,8,Attempted
2000,Gorzów Wlkp.,farmer,4,Attempted
2000,Gorzów Wlkp.,student (elementary),6,Attempted
2000,Gorzów Wlkp.,student (college/university),2,Attempted
2000,Gorzów Wlkp.,unemployed,50,Attempted
2000,Łódź,manual,60,Attempted
2000,Łódź,white collar,8,Attempted
2000,Łódź,self-employed,7,Attempted
2000,Łódź,farmer,40,Attempted
2000,Łódź,student (elementary),18,Attempted
2000,Łódź,student (college/university),3,Attempted
2000,Łódź,unemployed,110,Attempted
2000,Kraków,manual,62,Attempted
2000,Kraków,white collar,20,Attempted
2000,Kraków,self-employed,27,Attempted
2000,Kraków,farmer,62,Attempted
2000,Kraków,student (elementary),28,Attempted
2000,Kraków,student (college/university),5,Attempted
2000,Kraków,unemployed,111,Attempted
2000,Radom,manual,63,Attempted
2000,Radom,white collar,14,Attempted
2000,Radom,self-employed,17,Attempted
2000,Radom,farmer,62,Attempted
2000,Radom,student (elementary),22,Attempted
2000,Radom,student (college/university),4,Attempted
2000,Radom,unemployed,98,Attempted
2000,Opole,manual,22,Attempted
2000,Opole,white collar,9,Attempted
2000,Opole,self-employed,10,Attempted
2000,Opole,farmer,7,Attempted
2000,Opole,student (elementary),16,Attempted
2000,Opole,student (college/university),1,Attempted
2000,Opole,unemployed,42,Attempted
2000,Rzeszów,manual,55,Attempted
2000,Rzeszów,white collar,15,Attempted
2000,Rzeszów,self-employed,8,Attempted
2000,Rzeszów,farmer,37,Attempted
2000,Rzeszów,student (elementary),20,Attempted
2000,Rzeszów,student (college/university),7,Attempted
2000,Rzeszów,unemployed,86,Attempted
2000,Białystok,manual,27,Attempted
2000,Białystok,white collar,7,Attempted
2000,Białystok,self-employed,10,Attempted
2000,Białystok,farmer,40,Attempted
2000,Białystok,student (elementary),20,Attempted
2000,Białystok,student (college/university),3,Attempted
2000,Białystok,unemployed,52,Attempted
2000,Gdańsk,manual,50,Attempted
2000,Gdańsk,white collar,8,Attempted
2000,Gdańsk,self-employed,13,Attempted
2000,Gdańsk,farmer,9,Attempted
2000,Gdańsk,student (elementary),19,Attempted
2000,Gdańsk,student (college/university),2,Attempted
2000,Gdańsk,unemployed,85,Attempted
2000,Katowice,manual,102,Attempted
2000,Katowice,white collar,20,Attempted
2000,Katowice,self-employed,20,Attempted
2000,Katowice,farmer,6,Attempted
2000,Katowice,student (elementary),27,Attempted
2000,Katowice,student (college/university),3,Attempted
2000,Katowice,unemployed,146,Attempted
2000,Kielce,manual,30,Attempted
2000,Kielce,white collar,4,Attempted
2000,Kielce,self-employed,4,Attempted
2000,Kielce,farmer,28,Attempted
2000,Kielce,student (elementary),14,Attempted
2000,Kielce,student (college/university),3,Attempted
2000,Kielce,unemployed,53,Attempted
2000,Olsztyn,manual,15,Attempted
2000,Olsztyn,white collar,5,Attempted
2000,Olsztyn,self-employed,3,Attempted
2000,Olsztyn,farmer,15,Attempted
2000,Olsztyn,student (elementary),4,Attempted
2000,Olsztyn,student (college/university),1,Attempted
2000,Olsztyn,unemployed,42,Attempted
2000,Poznań,manual,100,Attempted
2000,Poznań,white collar,23,Attempted
2000,Poznań,self-employed,25,Attempted
2000,Poznań,farmer,54,Attempted
2000,Poznań,student (elementary),24,Attempted
2000,Poznań,student (college/university),3,Attempted
2000,Poznań,unemployed,123,Attempted
2000,Szczecin,manual,29,Attempted
2000,Szczecin,white collar,6,Attempted
2000,Szczecin,self-employed,12,Attempted
2000,Szczecin,farmer,9,Attempted
2000,Szczecin,student (elementary),24,Attempted
2000,Szczecin,student (college/university),0,Attempted
2000,Szczecin,unemployed,97,Attempted
2000,Warszawa,manual,15,Attempted
2000,Warszawa,white collar,8,Attempted
2000,Warszawa,self-employed,8,Attempted
2000,Warszawa,farmer,0,Attempted
2000,Warszawa,student (elementary),5,Attempted
2000,Warszawa,student (college/university),0,Attempted
2000,Warszawa,unemployed,22,Attempted
2001,Wrocław,manual,48,Attempted
2001,Wrocław,white collar,9,Attempted
2001,Wrocław,self-employed,9,Attempted
2001,Wrocław,farmer,5,Attempted
2001,Wrocław,student (elementary),24,Attempted
2001,Wrocław,student (college/university),3,Attempted
2001,Wrocław,unemployed,124,Attempted
2001,Bydgoszcz,manual,34,Attempted
2001,Bydgoszcz,white collar,6,Attempted
2001,Bydgoszcz,self-employed,8,Attempted
2001,Bydgoszcz,farmer,13,Attempted
2001,Bydgoszcz,student (elementary),15,Attempted
2001,Bydgoszcz,student (college/university),4,Attempted
2001,Bydgoszcz,unemployed,78,Attempted
2001,Lublin,manual,40,Attempted
2001,Lublin,white collar,9,Attempted
2001,Lublin,self-employed,8,Attempted
2001,Lublin,farmer,47,Attempted
2001,Lublin,student (elementary),22,Attempted
2001,Lublin,student (college/university),4,Attempted
2001,Lublin,unemployed,85,Attempted
2001,Gorzów Wlkp.,manual,17,Attempted
2001,Gorzów Wlkp.,white collar,7,Attempted
2001,Gorzów Wlkp.,self-employed,4,Attempted
2001,Gorzów Wlkp.,farmer,5,Attempted
2001,Gorzów Wlkp.,student (elementary),14,Attempted
2001,Gorzów Wlkp.,student (college/university),0,Attempted
2001,Gorzów Wlkp.,unemployed,74,Attempted
2001,Łódź,manual,43,Attempted
2001,Łódź,white collar,13,Attempted
2001,Łódź,self-employed,10,Attempted
2001,Łódź,farmer,45,Attempted
2001,Łódź,student (elementary),25,Attempted
2001,Łódź,student (college/university),2,Attempted
2001,Łódź,unemployed,109,Attempted
2001,Kraków,manual,74,Attempted
2001,Kraków,white collar,26,Attempted
2001,Kraków,self-employed,24,Attempted
2001,Kraków,farmer,55,Attempted
2001,Kraków,student (elementary),23,Attempted
2001,Kraków,student (college/university),6,Attempted
2001,Kraków,unemployed,122,Attempted
2001,Radom,manual,57,Attempted
2001,Radom,white collar,11,Attempted
2001,Radom,self-employed,11,Attempted
2001,Radom,farmer,65,Attempted
2001,Radom,student (elementary),24,Attempted
2001,Radom,student (college/university),5,Attempted
2001,Radom,unemployed,137,Attempted
2001,Opole,manual,31,Attempted
2001,Opole,white collar,6,Attempted
2001,Opole,self-employed,8,Attempted
2001,Opole,farmer,9,Attempted
2001,Opole,student (elementary),6,Attempted
2001,Opole,student (college/university),0,Attempted
2001,Opole,unemployed,36,Attempted
2001,Rzeszów,manual,31,Attempted
2001,Rzeszów,white collar,10,Attempted
2001,Rzeszów,self-employed,11,Attempted
2001,Rzeszów,farmer,39,Attempted
2001,Rzeszów,student (elementary),17,Attempted
2001,Rzeszów,student (college/university),3,Attempted
2001,Rzeszów,unemployed,83,Attempted
2001,Białystok,manual,30,Attempted
2001,Białystok,white collar,7,Attempted
2001,Białystok,self-employed,4,Attempted
2001,Białystok,farmer,26,Attempted
2001,Białystok,student (elementary),16,Attempted
2001,Białystok,student (college/university),2,Attempted
2001,Białystok,unemployed,59,Attempted
2001,Gdańsk,manual,40,Attempted
2001,Gdańsk,white collar,11,Attempted
2001,Gdańsk,self-employed,11,Attempted
2001,Gdańsk,farmer,11,Attempted
2001,Gdańsk,student (elementary),16,Attempted
2001,Gdańsk,student (college/university),6,Attempted
2001,Gdańsk,unemployed,77,Attempted
2001,Katowice,manual,94,Attempted
2001,Katowice,white collar,18,Attempted
2001,Katowice,self-employed,19,Attempted
2001,Katowice,farmer,6,Attempted
2001,Katowice,student (elementary),33,Attempted
2001,Katowice,student (college/university),2,Attempted
2001,Katowice,unemployed,124,Attempted
2001,Kielce,manual,22,Attempted
2001,Kielce,white collar,5,Attempted
2001,Kielce,self-employed,7,Attempted
2001,Kielce,farmer,25,Attempted
2001,Kielce,student (elementary),12,Attempted
2001,Kielce,student (college/university),1,Attempted
2001,Kielce,unemployed,55,Attempted
2001,Olsztyn,manual,33,Attempted
2001,Olsztyn,white collar,7,Attempted
2001,Olsztyn,self-employed,9,Attempted
2001,Olsztyn,farmer,16,Attempted
2001,Olsztyn,student (elementary),9,Attempted
2001,Olsztyn,student (college/university),2,Attempted
2001,Olsztyn,unemployed,72,Attempted
2001,Poznań,manual,90,Attempted
2001,Poznań,white collar,14,Attempted
2001,Poznań,self-employed,20,Attempted
2001,Poznań,farmer,57,Attempted
2001,Poznań,student (elementary),38,Attempted
2001,Poznań,student (college/university),10,Attempted
2001,Poznań,unemployed,133,Attempted
2001,Szczecin,manual,38,Attempted
2001,Szczecin,white collar,8,Attempted
2001,Szczecin,self-employed,11,Attempted
2001,Szczecin,farmer,3,Attempted
2001,Szczecin,student (elementary),20,Attempted
2001,Szczecin,student (college/university),1,Attempted
2001,Szczecin,unemployed,94,Attempted
2001,Warszawa,manual,11,Attempted
2001,Warszawa,white collar,11,Attempted
2001,Warszawa,self-employed,4,Attempted
2001,Warszawa,farmer,0,Attempted
2001,Warszawa,student (elementary),3,Attempted
2001,Warszawa,student (college/university),0,Attempted
2001,Warszawa,unemployed,17,Attempted
2002,Wrocław,manual,38,Attempted
2002,Wrocław,white collar,8,Attempted
2002,Wrocław,self-employed,11,Attempted
2002,Wrocław,farmer,10,Attempted
2002,Wrocław,student (elementary),17,Attempted
2002,Wrocław,student (college/university),2,Attempted
2002,Wrocław,unemployed,122,Attempted
2002,Bydgoszcz,manual,36,Attempted
2002,Bydgoszcz,white collar,5,Attempted
2002,Bydgoszcz,self-employed,8,Attempted
2002,Bydgoszcz,farmer,19,Attempted
2002,Bydgoszcz,student (elementary),6,Attempted
2002,Bydgoszcz,student (college/university),3,Attempted
2002,Bydgoszcz,unemployed,68,Attempted
2002,Lublin,manual,32,Attempted
2002,Lublin,white collar,7,Attempted
2002,Lublin,self-employed,10,Attempted
2002,Lublin,farmer,53,Attempted
2002,Lublin,student (elementary),22,Attempted
2002,Lublin,student (college/university),5,Attempted
2002,Lublin,unemployed,89,Attempted
2002,Gorzów Wlkp.,manual,23,Attempted
2002,Gorzów Wlkp.,white collar,2,Attempted
2002,Gorzów Wlkp.,self-employed,6,Attempted
2002,Gorzów Wlkp.,farmer,3,Attempted
2002,Gorzów Wlkp.,student (elementary),16,Attempted
2002,Gorzów Wlkp.,student (college/university),2,Attempted
2002,Gorzów Wlkp.,unemployed,65,Attempted
2002,Łódź,manual,41,Attempted
2002,Łódź,white collar,8,Attempted
2002,Łódź,self-employed,12,Attempted
2002,Łódź,farmer,44,Attempted
2002,Łódź,student (elementary),19,Attempted
2002,Łódź,student (college/university),3,Attempted
2002,Łódź,unemployed,113,Attempted
2002,Kraków,manual,63,Attempted
2002,Kraków,white collar,13,Attempted
2002,Kraków,self-employed,30,Attempted
2002,Kraków,farmer,40,Attempted
2002,Kraków,student (elementary),28,Attempted
2002,Kraków,student (college/university),14,Attempted
2002,Kraków,unemployed,111,Attempted
2002,Radom,manual,46,Attempted
2002,Radom,white collar,2,Attempted
2002,Radom,self-employed,9,Attempted
2002,Radom,farmer,58,Attempted
2002,Radom,student (elementary),19,Attempted
2002,Radom,student (college/university),4,Attempted
2002,Radom,unemployed,102,Attempted
2002,Opole,manual,27,Attempted
2002,Opole,white collar,9,Attempted
2002,Opole,self-employed,7,Attempted
2002,Opole,farmer,7,Attempted
2002,Opole,student (elementary),12,Attempted
2002,Opole,student (college/university),1,Attempted
2002,Opole,unemployed,31,Attempted
2002,Rzeszów,manual,51,Attempted
2002,Rzeszów,white collar,12,Attempted
2002,Rzeszów,self-employed,6,Attempted
2002,Rzeszów,farmer,17,Attempted
2002,Rzeszów,student (elementary),20,Attempted
2002,Rzeszów,student (college/university),4,Attempted
2002,Rzeszów,unemployed,124,Attempted
2002,Białystok,manual,25,Attempted
2002,Białystok,white collar,4,Attempted
2002,Białystok,self-employed,8,Attempted
2002,Białystok,farmer,28,Attempted
2002,Białystok,student (elementary),12,Attempted
2002,Białystok,student (college/university),2,Attempted
2002,Białystok,unemployed,77,Attempted
2002,Gdańsk,manual,50,Attempted
2002,Gdańsk,white collar,5,Attempted
2002,Gdańsk,self-employed,10,Attempted
2002,Gdańsk,farmer,12,Attempted
2002,Gdańsk,student (elementary),11,Attempted
2002,Gdańsk,student (college/university),5,Attempted
2002,Gdańsk,unemployed,82,Attempted
2002,Katowice,manual,85,Attempted
2002,Katowice,white collar,16,Attempted
2002,Katowice,self-employed,26,Attempted
2002,Katowice,farmer,9,Attempted
2002,Katowice,student (elementary),31,Attempted
2002,Katowice,student (college/university),7,Attempted
2002,Katowice,unemployed,152,Attempted
2002,Kielce,manual,25,Attempted
2002,Kielce,white collar,4,Attempted
2002,Kielce,self-employed,8,Attempted
2002,Kielce,farmer,28,Attempted
2002,Kielce,student (elementary),12,Attempted
2002,Kielce,student (college/university),1,Attempted
2002,Kielce,unemployed,68,Attempted
2002,Olsztyn,manual,26,Attempted
2002,Olsztyn,white collar,7,Attempted
2002,Olsztyn,self-employed,11,Attempted
2002,Olsztyn,farmer,16,Attempted
2002,Olsztyn,student (elementary),16,Attempted
2002,Olsztyn,student (college/university),2,Attempted
2002,Olsztyn,unemployed,95,Attempted
2002,Poznań,manual,80,Attempted
2002,Poznań,white collar,22,Attempted
2002,Poznań,self-employed,30,Attempted
2002,Poznań,farmer,41,Attempted
2002,Poznań,student (elementary),41,Attempted
2002,Poznań,student (college/university),4,Attempted
2002,Poznań,unemployed,136,Attempted
2002,Szczecin,manual,30,Attempted
2002,Szczecin,white collar,9,Attempted
2002,Szczecin,self-employed,5,Attempted
2002,Szczecin,farmer,8,Attempted
2002,Szczecin,student (elementary),20,Attempted
2002,Szczecin,student (college/university),1,Attempted
2002,Szczecin,unemployed,115,Attempted
2002,Warszawa,manual,18,Attempted
2002,Warszawa,white collar,7,Attempted
2002,Warszawa,self-employed,6,Attempted
2002,Warszawa,farmer,1,Attempted
2002,Warszawa,student (elementary),6,Attempted
2002,Warszawa,student (college/university),3,Attempted
2002,Warszawa,unemployed,31,Attempted
2003,Wrocław,manual,51,Attempted
2003,Wrocław,white collar,14,Attempted
2003,Wrocław,self-employed,14,Attempted
2003,Wrocław,farmer,6,Attempted
2003,Wrocław,student (elementary),21,Attempted
2003,Wrocław,student (college/university),5,Attempted
2003,Wrocław,unemployed,124,Attempted
2003,Bydgoszcz,manual,28,Attempted
2003,Bydgoszcz,white collar,11,Attempted
2003,Bydgoszcz,self-employed,5,Attempted
2003,Bydgoszcz,farmer,14,Attempted
2003,Bydgoszcz,student (elementary),9,Attempted
2003,Bydgoszcz,student (college/university),0,Attempted
2003,Bydgoszcz,unemployed,59,Attempted
2003,Lublin,manual,38,Attempted
2003,Lublin,white collar,12,Attempted
2003,Lublin,self-employed,9,Attempted
2003,Lublin,farmer,62,Attempted
2003,Lublin,student (elementary),25,Attempted
2003,Lublin,student (college/university),6,Attempted
2003,Lublin,unemployed,119,Attempted
2003,Gorzów Wlkp.,manual,18,Attempted
2003,Gorzów Wlkp.,white collar,3,Attempted
2003,Gorzów Wlkp.,self-employed,5,Attempted
2003,Gorzów Wlkp.,farmer,1,Attempted
2003,Gorzów Wlkp.,student (elementary),15,Attempted
2003,Gorzów Wlkp.,student (college/university),2,Attempted
2003,Gorzów Wlkp.,unemployed,53,Attempted
2003,Łódź,manual,41,Attempted
2003,Łódź,white collar,10,Attempted
2003,Łódź,self-employed,9,Attempted
2003,Łódź,farmer,45,Attempted
2003,Łódź,student (elementary),16,Attempted
2003,Łódź,student (college/university),3,Attempted
2003,Łódź,unemployed,77,Attempted
2003,Kraków,manual,52,Attempted
2003,Kraków,white collar,17,Attempted
2003,Kraków,self-employed,15,Attempted
2003,Kraków,farmer,40,Attempted
2003,Kraków,student (elementary),19,Attempted
2003,Kraków,student (college/university),3,Attempted
2003,Kraków,unemployed,83,Attempted
2003,Radom,manual,36,Attempted
2003,Radom,white collar,5,Attempted
2003,Radom,self-employed,9,Attempted
2003,Radom,farmer,44,Attempted
2003,Radom,student (elementary),18,Attempted
2003,Radom,student (college/university),7,Attempted
2003,Radom,unemployed,84,Attempted
2003,Opole,manual,25,Attempted
2003,Opole,white collar,5,Attempted
2003,Opole,self-employed,7,Attempted
2003,Opole,farmer,3,Attempted
2003,Opole,student (elementary),7,Attempted
2003,Opole,student (college/university),1,Attempted
2003,Opole,unemployed,48,Attempted
2003,Rzeszów,manual,27,Attempted
2003,Rzeszów,white collar,5,Attempted
2003,Rzeszów,self-employed,4,Attempted
2003,Rzeszów,farmer,20,Attempted
2003,Rzeszów,student (elementary),14,Attempted
2003,Rzeszów,student (college/university),4,Attempted
2003,Rzeszów,unemployed,73,Attempted
2003,Białystok,manual,20,Attempted
2003,Białystok,white collar,10,Attempted
2003,Białystok,self-employed,7,Attempted
2003,Białystok,farmer,48,Attempted
2003,Białystok,student (elementary),13,Attempted
2003,Białystok,student (college/university),3,Attempted
2003,Białystok,unemployed,69,Attempted
2003,Gdańsk,manual,38,Attempted
2003,Gdańsk,white collar,6,Attempted
2003,Gdańsk,self-employed,8,Attempted
2003,Gdańsk,farmer,16,Attempted
2003,Gdańsk,student (elementary),9,Attempted
2003,Gdańsk,student (college/university),3,Attempted
2003,Gdańsk,unemployed,59,Attempted
2003,Katowice,manual,111,Attempted
2003,Katowice,white collar,11,Attempted
2003,Katowice,self-employed,13,Attempted
2003,Katowice,farmer,5,Attempted
2003,Katowice,student (elementary),45,Attempted
2003,Katowice,student (college/university),8,Attempted
2003,Katowice,unemployed,157,Attempted
2003,Kielce,manual,20,Attempted
2003,Kielce,white collar,8,Attempted
2003,Kielce,self-employed,4,Attempted
2003,Kielce,farmer,23,Attempted
2003,Kielce,student (elementary),9,Attempted
2003,Kielce,student (college/university),0,Attempted
2003,Kielce,unemployed,60,Attempted
2003,Olsztyn,manual,29,Attempted
2003,Olsztyn,white collar,3,Attempted
2003,Olsztyn,self-employed,9,Attempted
2003,Olsztyn,farmer,18,Attempted
2003,Olsztyn,student (elementary),10,Attempted
2003,Olsztyn,student (college/university),4,Attempted
2003,Olsztyn,unemployed,85,Attempted
2003,Poznań,manual,67,Attempted
2003,Poznań,white collar,21,Attempted
2003,Poznań,self-employed,24,Attempted
2003,Poznań,farmer,38,Attempted
2003,Poznań,student (elementary),24,Attempted
2003,Poznań,student (college/university),3,Attempted
2003,Poznań,unemployed,112,Attempted
2003,Szczecin,manual,30,Attempted
2003,Szczecin,white collar,9,Attempted
2003,Szczecin,self-employed,12,Attempted
2003,Szczecin,farmer,8,Attempted
2003,Szczecin,student (elementary),19,Attempted
2003,Szczecin,student (college/university),0,Attempted
2003,Szczecin,unemployed,125,Attempted
2003,Warszawa,manual,22,Attempted
2003,Warszawa,white collar,12,Attempted
2003,Warszawa,self-employed,7,Attempted
2003,Warszawa,farmer,7,Attempted
2003,Warszawa,student (elementary),10,Attempted
2003,Warszawa,student (college/university),7,Attempted
2003,Warszawa,unemployed,45,Attempted
2004,Wrocław,manual,51,Attempted
2004,Wrocław,white collar,5,Attempted
2004,Wrocław,self-employed,12,Attempted
2004,Wrocław,farmer,7,Attempted
2004,Wrocław,student (elementary),21,Attempted
2004,Wrocław,student (college/university),2,Attempted
2004,Wrocław,unemployed,134,Attempted
2004,Bydgoszcz,manual,41,Attempted
2004,Bydgoszcz,white collar,7,Attempted
2004,Bydgoszcz,self-employed,6,Attempted
2004,Bydgoszcz,farmer,24,Attempted
2004,Bydgoszcz,student (elementary),23,Attempted
2004,Bydgoszcz,student (college/university),1,Attempted
2004,Bydgoszcz,unemployed,96,Attempted
2004,Lublin,manual,43,Attempted
2004,Lublin,white collar,10,Attempted
2004,Lublin,self-employed,9,Attempted
2004,Lublin,farmer,65,Attempted
2004,Lublin,student (elementary),29,Attempted
2004,Lublin,student (college/university),6,Attempted
2004,Lublin,unemployed,108,Attempted
2004,Gorzów Wlkp.,manual,19,Attempted
2004,Gorzów Wlkp.,white collar,7,Attempted
2004,Gorzów Wlkp.,self-employed,3,Attempted
2004,Gorzów Wlkp.,farmer,1,Attempted
2004,Gorzów Wlkp.,student (elementary),14,Attempted
2004,Gorzów Wlkp.,student (college/university),1,Attempted
2004,Gorzów Wlkp.,unemployed,55,Attempted
2004,Łódź,manual,31,Attempted
2004,Łódź,white collar,6,Attempted
2004,Łódź,self-employed,7,Attempted
2004,Łódź,farmer,40,Attempted
2004,Łódź,student (elementary),19,Attempted
2004,Łódź,student (college/university),2,Attempted
2004,Łódź,unemployed,116,Attempted
2004,Kraków,manual,63,Attempted
2004,Kraków,white collar,10,Attempted
2004,Kraków,self-employed,14,Attempted
2004,Kraków,farmer,50,Attempted
2004,Kraków,student (elementary),27,Attempted
2004,Kraków,student (college/university),6,Attempted
2004,Kraków,unemployed,88,Attempted
2004,Radom,manual,45,Attempted
2004,Radom,white collar,4,Attempted
2004,Radom,self-employed,11,Attempted
2004,Radom,farmer,40,Attempted
2004,Radom,student (elementary),22,Attempted
2004,Radom,student (college/university),3,Attempted
2004,Radom,unemployed,84,Attempted
2004,Opole,manual,25,Attempted
2004,Opole,white collar,9,Attempted
2004,Opole,self-employed,7,Attempted
2004,Opole,farmer,5,Attempted
2004,Opole,student (elementary),12,Attempted
2004,Opole,student (college/university),2,Attempted
2004,Opole,unemployed,50,Attempted
2004,Rzeszów,manual,36,Attempted
2004,Rzeszów,white collar,9,Attempted
2004,Rzeszów,self-employed,5,Attempted
2004,Rzeszów,farmer,15,Attempted
2004,Rzeszów,student (elementary),11,Attempted
2004,Rzeszów,student (college/university),1,Attempted
2004,Rzeszów,unemployed,77,Attempted
2004,Białystok,manual,17,Attempted
2004,Białystok,white collar,13,Attempted
2004,Białystok,self-employed,8,Attempted
2004,Białystok,farmer,33,Attempted
2004,Białystok,student (elementary),12,Attempted
2004,Białystok,student (college/university),6,Attempted
2004,Białystok,unemployed,62,Attempted
2004,Gdańsk,manual,14,Attempted
2004,Gdańsk,white collar,13,Attempted
2004,Gdańsk,self-employed,11,Attempted
2004,Gdańsk,farmer,9,Attempted
2004,Gdańsk,student (elementary),16,Attempted
2004,Gdańsk,student (college/university),1,Attempted
